ID,Address,Beds,Baths,SQFT,Month Sold,Year Sold,Sale Price,Lake Front,Year Built,Lot Size Sqft,Most Recent Tax Assessment
1,4674 Cumberland Rd,3,2,2369,Apr,2022,341000,N,1984,6534,290000
2,6641 Halstead Ave,3,3,2092,Apr,2022,980000,Y,1980,10018,631000
3,4767 Richmond Rd,3,2,1500,Apr,2022,346000,N,1981,5662,207000
4,4515 Manchester Rd,3,2,1931,Mar,2022,330000,N,1920,8276,240000
5,6117 Beachwood Rd,3,2.5,2400,Mar,2022,315000,N,1970,12632,282000
6,4812 Lanark Rd,3,2,2010,Mar,2022,322000,N,1987,9583,256000
7,4711 Cumberland Rd,3,2,1122,Mar,2022,318000,N,1987,10018,199000
8,1721 Eagle Ln,3,3,1728,Mar,2022,950000,Y,1980,11326,411000
9,4924 Edgewater Dr,3,2,1368,Mar,2022,600000,Y,1915,10454,664000
10,1713 Gull Ln,3,4,1882,Mar,2022,360000,N,1920,3484,271000
11,4870 Glasgow Rd,3,3,2592,Mar,2022,427900,N,2003,3484,370000
12,2157 Grandview Blvd,3,2,2500,Feb,2022,315000,N,1920,11326,228000
13,5361 Baywood Shores Dr,3,2,1807,Feb,2022,1470000,Y,1965,9583,830000
14,2185 Pecan Ln,3,2,2653,Jan,2022,535000,N,1935,15682,322000
15,5140 Woodland Rd,3,2,1568,Jan,2022,299251,N,1987,6534,244000
16,2920 Oaklawn Ln,3,2.25,2120,Jan,2022,400000,N,1996,14375,335000
17,2167 Noble Ln,3,2,1800,Jan,2022,273000,N,1961,7840,241000
18,3107 Alexander Ln,3,2,1210,Dec,2021,280000,N,1977,8276,211000
19,4901 Bartlett Blvd,3,3,1686,Dec,2021,800100,Y,1950,8712,614000
20,6056 Ridgewood Rd,3,3,1700,Dec,2021,350000,N,1971,8712,261000
21,2885 Cambridge Ln,3,2,1942,Dec,2021,920000,Y,1957,4356,640000
22,4861 Hanover Rd,3,2,1408,Dec,2021,118400,N,1978,6098,228000
23,4878 Edgewater Dr,3,3,2536,Dec,2021,1150000,Y,1920,8712,680000
24,4775 Kildare Rd,3,2,1522,Dec,2021,290000,N,1973,10018,242000
25,2033 Arbor Ln,3,3,2300,Nov,2021,1080000,Y,2012,6098,879000
26,4790 Carrick Rd,3,2,1830,Nov,2021,302000,N,1980,7840,221000
27,1943 Shorewood Ln,3,2,1720,Nov,2021,335000,N,1992,7840,270000
28,1704 Eagle Ln,3,2,1442,Oct,2021,302000,N,1922,6534,238000
29,5926 Beachwood Rd,3,2.5,2228,Oct,2021,490000,N,1996,10829,464000
30,2021 Sycamore Ln,3,2,1892,Oct,2021,300000,N,1965,9583,238000
31,5883 Idlewood Rd,3,2,2012,Oct,2021,386000,N,1974,10890,220000
32,2207 Belmont Ln,3,2,1799,Oct,2021,310000,N,1996,6098,238000
33,1664 Eagle Ln,3,2,1296,Oct,2021,250000,N,1944,7405,206000
34,2865 Halstead Ln,3,3,2435,Oct,2021,430000,N,1988,12197,396000
35,5444 Spruce Rd,3,2,1651,Sep,2021,370000,N,1918,12197,297000
36,2447 Lost Lake Rd,3,2,2195,Sep,2021,387500,N,1987,10454,338000
37,4614 Aberdeen Rd,3,2,2166,Sep,2021,365000,N,1986,12197,259000
38,4879 Plymouth Rd,3,2,1440,Sep,2021,295000,N,1984,6534,253000
39,6279 Linden,3,2,2218,Aug,2021,385000,N,1920,17424,302000
40,5116 Drummond Rd,3,2,1246,Aug,2021,320000,N,1930,9583,243000
41,4800 Lanark Rd,3,3,1988,Aug,2021,292000,N,1987,12632,272000
